n,r,p
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$RwVS0w4lmni/7EQRa0P2yg$587TA/40h5IAI76xmRvGEiMgcp+PWr+sTamD50pAy5g,id: 2,requires_reset: true,username: alice})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$RwVS0w4lmni/7EQRa0P2yg$587TA/40h5IAI76xmRvGEiMgcp+PWr+sTamD50pAy5g,id: 2,requires_reset: true,username: alice})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$RwVS0w4lmni/7EQRa0P2yg$587TA/40h5IAI76xmRvGEiMgcp+PWr+sTamD50pAy5g,id: 2,requires_reset: true,username: alice})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$RwVS0w4lmni/7EQRa0P2yg$587TA/40h5IAI76xmRvGEiMgcp+PWr+sTamD50pAy5g,id: 2,requires_reset: true,username: alice})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$M7pjd/JzOEzVUKTQ2KwAQA$JWja+ZBQmteiCmICWp5iuJ29DXAB5J8yujeGFC6mrEc,id: 3,requires_reset: true,username: mikkel})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$M7pjd/JzOEzVUKTQ2KwAQA$JWja+ZBQmteiCmICWp5iuJ29DXAB5J8yujeGFC6mrEc,id: 3,requires_reset: true,username: mikkel})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$M7pjd/JzOEzVUKTQ2KwAQA$JWja+ZBQmteiCmICWp5iuJ29DXAB5J8yujeGFC6mrEc,id: 3,requires_reset: true,username: mikkel})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$M7pjd/JzOEzVUKTQ2KwAQA$JWja+ZBQmteiCmICWp5iuJ29DXAB5J8yujeGFC6mrEc,id: 3,requires_reset: true,username: mikkel})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$i8LHfbqOc3T/AvS53hj2Qg$ep8rMGsXBaCPb5/hfFKDHsvJZC+XW+eEwfxABkCB5wY,id: 4,requires_reset: true,username: sofie})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$i8LHfbqOc3T/AvS53hj2Qg$ep8rMGsXBaCPb5/hfFKDHsvJZC+XW+eEwfxABkCB5wY,id: 4,requires_reset: true,username: sofie})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$i8LHfbqOc3T/AvS53hj2Qg$ep8rMGsXBaCPb5/hfFKDHsvJZC+XW+eEwfxABkCB5wY,id: 4,requires_reset: true,username: sofie})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$i8LHfbqOc3T/AvS53hj2Qg$ep8rMGsXBaCPb5/hfFKDHsvJZC+XW+eEwfxABkCB5wY,id: 4,requires_reset: true,username: sofie})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JcD7uPdQ3ey8lapNPowUmg$ulD90DajUEOpnbsnmY1Q/pkNeoLArY5XXJlpbRi4QcY,id: 5,requires_reset: true,username: jonas})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JcD7uPdQ3ey8lapNPowUmg$ulD90DajUEOpnbsnmY1Q/pkNeoLArY5XXJlpbRi4QcY,id: 5,requires_reset: true,username: jonas})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JcD7uPdQ3ey8lapNPowUmg$ulD90DajUEOpnbsnmY1Q/pkNeoLArY5XXJlpbRi4QcY,id: 5,requires_reset: true,username: jonas})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$JcD7uPdQ3ey8lapNPowUmg$ulD90DajUEOpnbsnmY1Q/pkNeoLArY5XXJlpbRi4QcY,id: 5,requires_reset: true,username: jonas})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$juAK/GbhT5I4VKZ6mn1oCQ$QTcNboWjI+8zzRYPpSNN+LVJJQgnIgxKmn2BEzpwJ/U,id: 6,requires_reset: true,username: emma})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$juAK/GbhT5I4VKZ6mn1oCQ$QTcNboWjI+8zzRYPpSNN+LVJJQgnIgxKmn2BEzpwJ/U,id: 6,requires_reset: true,username: emma})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$juAK/GbhT5I4VKZ6mn1oCQ$QTcNboWjI+8zzRYPpSNN+LVJJQgnIgxKmn2BEzpwJ/U,id: 6,requires_reset: true,username: emma})",[:HAS_PERMISSION_AS],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$juAK/GbhT5I4VKZ6mn1oCQ$QTcNboWjI+8zzRYPpSNN+LVJJQgnIgxKmn2BEzpwJ/U,id: 6,requires_reset: true,username: emma})"
