n
"(:Employee {work_email: Admin@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88888927, last_name: Admin, id: 1, first_name: Admin})"
"(:Employee {work_email: alice@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88887777, last_name: Jensen, id: 2, first_name: Alice})"
"(:Employee {work_email: mikkel@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88881234, last_name: Andersen, id: 3, first_name: Mikkel})"
"(:Employee {work_email: sofie@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88884567, last_name: Nielsen, id: 4, first_name: Sofie})"
"(:Employee {work_email: jonas@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88885678, last_name: Pedersen, id: 5, first_name: Jonas})"
"(:Employee {work_email: emma@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88886789, last_name: Christensen, id: 6, first_name: Emma})"
"(:Employee {work_email: noaah@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88887890, last_name: Larsaen, id: 7, first_name: Noaah})"
"(:Employee {work_email: freja@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88888901, last_name: Mortensen, id: 8, first_name: Freja})"
"(:Employee {work_email: lucas@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88889012, last_name: Olsen, id: 9, first_name: Lucas})"
"(:Employee {work_email: ida@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88880123, last_name: Thomsen, id: 10, first_name: Ida})"
"(:Employee {work_email: william@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88881235, last_name: Rasmussen, id: 11, first_name: William})"
"(:Employee {work_email: clara@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88882345, last_name: Hansen, id: 12, first_name: Clara})"
"(:Employee {work_email: Adminn@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 88888917, last_name: Adminn, id: 13, first_name: Adminn})"
"(:Employee {work_email: oliver.skov@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770001, last_name: Skov, id: 14, first_name: Oliver})"
"(:Employee {work_email: laura.hvid@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770002, last_name: Hvid, id: 15, first_name: Laura})"
"(:Employee {work_email: tobias.lund@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770003, last_name: Lund, id: 16, first_name: Tobias})"
"(:Employee {work_email: sara.dam@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770004, last_name: Dam, id: 17, first_name: Sara})"
"(:Employee {work_email: victor.holm@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770005, last_name: Holm, id: 18, first_name: Victor})"
"(:Employee {work_email: julie.moller@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770006, last_name: Møller, id: 19, first_name: Julie})"
"(:Employee {work_email: anders.bro@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770007, last_name: Bro, id: 20, first_name: Anders})"
"(:Employee {work_email: maja.frisk@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770008, last_name: Frisk, id: 21, first_name: Maja})"
"(:Employee {work_email: sebastian.krag@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770009, last_name: Krag, id: 22, first_name: Sebastian})"
"(:Employee {work_email: nanna.poulsen@techcorp.com, image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png, work_phone: 77770010, last_name: Poulsen, id: 23, first_name: Nanna})"
